[10:29:24]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:37:08]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:37:16]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:37:24]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:37:28]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:37:44]  8.02 H:8.06 L:7.76 | PnL:+1.01%(+24元) | 离止损:+3.1% 
[10:37:52]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:38:26]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:38:33]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:38:37]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:38:40]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:38:44]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:38:55]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[10:39:02]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:39:13]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:39:17]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:39:32]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:40:01]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:40:04]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:40:52]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:40:56]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:40:59]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:41:03]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:41:10]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:41:14]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:41:17]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:41:28]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:41:47]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:41:50]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:42:01]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:42:05]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:42:48]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:43:13]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:43:17]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:44:01]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:44:04]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:44:08]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:44:12]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:44:23]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:44:26]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:44:41]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:44:48]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:44:52]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:44:56]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:45:14]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:45:52]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:46:00]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:46:03]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:46:26]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:46:30]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:46:37]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:46:41]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:46:48]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:47:03]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:47:07]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:47:10]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:47:18]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:47:29]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:47:40]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:47:47]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:48:20]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:48:24]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:48:39]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:49:08]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:49:19]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:49:23]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:50:01]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:50:04]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:50:11]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:50:15]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:50:37]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:50:44]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:50:48]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:51:03]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:51:17]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:51:22]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:51:26]  8.00 H:8.06 L:7.76 | PnL:+0.76%(+18元) | 离止损:+2.8% 
[10:51:33]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:51:37]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:51:40]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:52:19]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:52:23]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:52:30]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:52:34]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:52:49]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:52:53]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:53:08]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:53:11]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:54:12]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:54:16]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:54:30]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:54:48]  7.99 H:8.06 L:7.76 | PnL:+0.63%(+15元) | 离止损:+2.7% 
[10:55:29]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:55:36]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:56:02]  7.98 H:8.06 L:7.76 | PnL:+0.50%(+12元) | 离止损:+2.6% 
[10:56:06]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:56:31]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:56:53]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:56:57]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:57:01]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:57:15]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:57:23]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:57:27]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:57:56]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[10:58:00]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:58:12]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:58:16]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:58:20]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:58:31]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:58:34]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:58:42]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:58:45]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:58:49]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:58:52]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:59:03]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:59:11]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[10:59:15]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[10:59:46]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[11:00:08]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:00:18]  7.97 H:8.06 L:7.76 | PnL:+0.38%(+9元) | 离止损:+2.4% 
[11:00:23]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:00:56]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:01:06]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:01:10]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:01:33]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:01:38]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:01:42]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:01:45]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:01:49]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:01:57]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:02:01]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:02:05]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:02:16]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:02:44]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:02:59]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:03:03]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:03:10]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:03:14]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:03:21]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:03:29]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:03:32]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:03:36]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:04:28]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:04:32]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:05:01]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:05:04]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:05:23]  7.96 H:8.06 L:7.76 | PnL:+0.25%(+6元) | 离止损:+2.3% 
[11:05:27]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:05:42]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:05:49]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:06:00]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:06:04]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:06:08]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:07:03]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:07:07]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:07:11]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:07:14]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:07:25]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:07:37]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:07:40]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:07:48]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:07:51]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:08:06]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:08:10]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:08:13]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:08:20]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:08:24]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:08:39]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:08:54]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:09:01]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:09:09]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:09:17]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:09:20]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:09:28]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:09:43]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:09:46]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:09:51]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:09:54]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:10:01]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:10:05]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:10:09]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:10:58]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:11:01]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:11:05]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:11:12]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:11:16]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:11:27]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:11:35]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:11:57]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:12:05]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:12:27]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:12:31]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:12:35]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:12:53]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:13:05]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:13:30]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:13:38]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:13:57]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:14:08]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:14:15]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:14:19]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:14:23]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:14:34]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:14:37]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:14:52]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:14:56]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:15:07]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:15:14]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:15:25]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:15:32]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:15:36]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:15:47]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:15:51]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:15:55]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:15:59]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:16:51]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:17:10]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:17:14]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
